Freq.	2/V(o5)	2/V(o9)	2/V(o10)	2/V(o12)	2/V(o15)	2/V(o20)
1.02329299228075e+000	(6.63346172843289e+001dB,-1.79999851773936e+002°)	(6.55825093171525e+001dB,-1.79999887017184e+002°)	(6.52167692815720e+001dB,-1.79999909820140e+002°)	(6.56169517768623e+001dB,-1.79999905932982e+002°)	(6.57312995890354e+001dB,-1.79999924400502e+002°)	(6.59295843499732e+001dB,-1.79999955328022e+002°)
1.02565192625141e+000	(6.63346172863764e+001dB,-1.79999851432240e+002°)	(6.55825093171522e+001dB,-1.79999886756731e+002°)	(6.52167692869733e+001dB,-1.79999909612254e+002°)	(6.56169517825183e+001dB,-1.79999905716135e+002°)	(6.57312995909466e+001dB,-1.79999924226227e+002°)	(6.59295843538819e+001dB,-1.79999955225043e+002°)
1.02801629812647e+000	(6.63346172822810e+001dB,-1.79999851089756e+002°)	(6.55825093171516e+001dB,-1.79999886495679e+002°)	(6.52167692833723e+001dB,-1.79999909403889e+002°)	(6.56169517787478e+001dB,-1.79999905498788e+002°)	(6.57312995928564e+001dB,-1.79999924051550e+002°)	(6.59295843519275e+001dB,-1.79999955121826e+002°)
1.03038612044162e+000	(6.63346172925191e+001dB,-1.79999850746482e+002°)	(6.55825093171523e+001dB,-1.79999886234024e+002°)	(6.52167692797710e+001dB,-1.79999909195043e+002°)	(6.56169517787482e+001dB,-1.79999905280940e+002°)	(6.57312995909456e+001dB,-1.79999923876471e+002°)	(6.59295843558358e+001dB,-1.79999955018371e+002°)
1.03276140576140e+000	(6.63346172863760e+001dB,-1.79999850402418e+002°)	(6.55825093152742e+001dB,-1.79999885971767e+002°)	(6.52167692851726e+001dB,-1.79999908985716e+002°)	(6.56169517787474e+001dB,-1.79999905062590e+002°)	(6.57312995928558e+001dB,-1.79999923700988e+002°)	(6.59295843538819e+001dB,-1.79999954914678e+002°)
1.03514216667934e+000	(6.63346172863759e+001dB,-1.79999850057559e+002°)	(6.55825093152747e+001dB,-1.79999885708904e+002°)	(6.52167692779703e+001dB,-1.79999908775907e+002°)	(6.56169517806334e+001dB,-1.79999904843737e+002°)	(6.57312995890353e+001dB,-1.79999923525101e+002°)	(6.59295843499718e+001dB,-1.79999954810745e+002°)
1.03752841581801e+000	(6.63346172843281e+001dB,-1.79999849711906e+002°)	(6.55825093133960e+001dB,-1.79999885445436e+002°)	(6.52167692815718e+001dB,-1.79999908565613e+002°)	(6.56169517787478e+001dB,-1.79999904624379e+002°)	(6.57312995890353e+001dB,-1.79999923348808e+002°)	(6.59295843499723e+001dB,-1.79999954706573e+002°)
1.03992016582906e+000	(6.63346172802326e+001dB,-1.79999849365457e+002°)	(6.55825093152740e+001dB,-1.79999885181361e+002°)	(6.52167692815717e+001dB,-1.79999908354835e+002°)	(6.56169517787475e+001dB,-1.79999904404516e+002°)	(6.57312995890353e+001dB,-1.79999923172109e+002°)	(6.59295843519266e+001dB,-1.79999954602161e+002°)
1.04231742939330e+000	(6.63346172843278e+001dB,-1.79999849018208e+002°)	(6.55825093115183e+001dB,-1.79999884916676e+002°)	(6.52167692815717e+001dB,-1.79999908143571e+002°)	(6.56169517787475e+001dB,-1.79999904184145e+002°)	(6.57312995890353e+001dB,-1.79999922995002e+002°)	(6.59295843538814e+001dB,-1.79999954497508e+002°)
1.04472021922080e+000	(6.63346172884229e+001dB,-1.79999848670159e+002°)	(6.55825093152739e+001dB,-1.79999884651382e+002°)	(6.52167692833718e+001dB,-1.79999907931820e+002°)	(6.56169517787472e+001dB,-1.79999903963267e+002°)	(6.57312995909450e+001dB,-1.79999922817487e+002°)	(6.59295843538824e+001dB,-1.79999954392614e+002°)
1.04712854805090e+000	(6.63346172843275e+001dB,-1.79999848321308e+002°)	(6.55825093133952e+001dB,-1.79999884385476e+002°)	(6.52167692797707e+001dB,-1.79999907719581e+002°)	(6.56169517787474e+001dB,-1.79999903741879e+002°)	(6.57312995928562e+001dB,-1.79999922639563e+002°)	(6.59295843538814e+001dB,-1.79999954287478e+002°)
1.04954242865232e+000	(6.63346172822797e+001dB,-1.79999847971652e+002°)	(6.55825093133964e+001dB,-1.79999884118957e+002°)	(6.52167692797711e+001dB,-1.79999907506853e+002°)	(6.56169517806331e+001dB,-1.79999903519981e+002°)	(6.57312995909455e+001dB,-1.79999922461229e+002°)	(6.59295843519280e+001dB,-1.79999954182100e+002°)
1.05196187382322e+000	(6.63346172863749e+001dB,-1.79999847621191e+002°)	(6.55825093171514e+001dB,-1.79999883851823e+002°)	(6.52167692815715e+001dB,-1.79999907293634e+002°)	(6.56169517806326e+001dB,-1.79999903297572e+002°)	(6.57312995909459e+001dB,-1.79999922282484e+002°)	(6.59295843558358e+001dB,-1.79999954076479e+002°)
1.05438689639126e+000	(6.63346172822794e+001dB,-1.79999847269921e+002°)	(6.55825093133955e+001dB,-1.79999883584074e+002°)	(6.52167692797711e+001dB,-1.79999907079924e+002°)	(6.56169517787475e+001dB,-1.79999903074650e+002°)	(6.57312995909450e+001dB,-1.79999922103326e+002°)	(6.59295843519270e+001dB,-1.79999953970614e+002°)
1.05681750921366e+000	(6.63346172843269e+001dB,-1.79999846917842e+002°)	(6.55825093133957e+001dB,-1.79999883315708e+002°)	(6.52167692815711e+001dB,-1.79999906865721e+002°)	(6.56169517806327e+001dB,-1.79999902851214e+002°)	(6.57312995928561e+001dB,-1.79999921923756e+002°)	(6.59295843519266e+001dB,-1.79999953864505e+002°)
1.05925372517729e+000	(6.63346172884221e+001dB,-1.79999846564951e+002°)	(6.55825093171518e+001dB,-1.79999883046723e+002°)	(6.52167692833717e+001dB,-1.79999906651025e+002°)	(6.56169517806327e+001dB,-1.79999902627263e+002°)	(6.57312995928548e+001dB,-1.79999921743772e+002°)	(6.59295843558362e+001dB,-1.79999953758152e+002°)
1.06169555719872e+000	(6.63346172884220e+001dB,-1.79999846211247e+002°)	(6.55825093152737e+001dB,-1.79999882777117e+002°)	(6.52167692815709e+001dB,-1.79999906435833e+002°)	(6.56169517806324e+001dB,-1.79999902402796e+002°)	(6.57312995947654e+001dB,-1.79999921563372e+002°)	(6.59295843538809e+001dB,-1.79999953651554e+002°)
1.06414301822431e+000	(6.63346172863742e+001dB,-1.79999845856727e+002°)	(6.55825093171514e+001dB,-1.79999882506891e+002°)	(6.52167692815711e+001dB,-1.79999906220145e+002°)	(6.56169517787474e+001dB,-1.79999902177811e+002°)	(6.57312995928550e+001dB,-1.79999921382557e+002°)	(6.59295843499723e+001dB,-1.79999953544709e+002°)
1.06659612123026e+000	(6.63346172863740e+001dB,-1.79999845501390e+002°)	(6.55825093171513e+001dB,-1.79999882236041e+002°)	(6.52167692797702e+001dB,-1.79999906003960e+002°)	(6.56169517787471e+001dB,-1.79999901952307e+002°)	(6.57312995928550e+001dB,-1.79999921201325e+002°)	(6.59295843558358e+001dB,-1.79999953437619e+002°)
1.06905487922266e+000	(6.63346172843262e+001dB,-1.79999845145234e+002°)	(6.55825093133951e+001dB,-1.79999881964567e+002°)	(6.52167692779695e+001dB,-1.79999905787277e+002°)	(6.56169517768620e+001dB,-1.79999901726284e+002°)	(6.57312995890340e+001dB,-1.79999921019676e+002°)	(6.59295843499718e+001dB,-1.79999953330282e+002°)
1.07151930523761e+000	(6.63346172822784e+001dB,-1.79999844788257e+002°)	(6.55825093115170e+001dB,-1.79999881692468e+002°)	(6.52167692851719e+001dB,-1.79999905570094e+002°)	(6.56169517768612e+001dB,-1.79999901499740e+002°)	(6.57312995871233e+001dB,-1.79999920837607e+002°)	(6.59295843519266e+001dB,-1.79999953222697e+002°)
1.07398941234124e+000	(6.63346172863736e+001dB,-1.79999844430457e+002°)	(6.55825093152738e+001dB,-1.79999881419740e+002°)	(6.52167692815707e+001dB,-1.79999905352411e+002°)	(6.56169517806319e+001dB,-1.79999901272673e+002°)	(6.57312995909442e+001dB,-1.79999920655119e+002°)	(6.59295843519261e+001dB,-1.79999953114864e+002°)
1.07646521362983e+000	(6.63346172822781e+001dB,-1.79999844071832e+002°)	(6.55825093133949e+001dB,-1.79999881146385e+002°)	(6.52167692815705e+001dB,-1.79999905134226e+002°)	(6.56169517806325e+001dB,-1.79999901045083e+002°)	(6.57312995909442e+001dB,-1.79999920472210e+002°)	(6.59295843519261e+001dB,-1.79999953006783e+002°)
1.07894672222983e+000	(6.63346172884209e+001dB,-1.79999843712381e+002°)	(6.55825093133951e+001dB,-1.79999880872399e+002°)	(6.52167692833715e+001dB,-1.79999904915537e+002°)	(6.56169517806322e+001dB,-1.79999900816969e+002°)	(6.57312995909447e+001dB,-1.79999920288880e+002°)	(6.59295843538819e+001dB,-1.79999952898452e+002°)
1.08143395129794e+000	(6.63346172822778e+001dB,-1.79999843352101e+002°)	(6.55825093133950e+001dB,-1.79999880597781e+002°)	(6.52167692797705e+001dB,-1.79999904696345e+002°)	(6.56169517806324e+001dB,-1.79999900588328e+002°)	(6.57312995909441e+001dB,-1.79999920105127e+002°)	(6.59295843558358e+001dB,-1.79999952789872e+002°)
1.08392691402120e+000	(6.63346172863730e+001dB,-1.79999842990990e+002°)	(6.55825093171503e+001dB,-1.79999880322531e+002°)	(6.52167692797697e+001dB,-1.79999904476648e+002°)	(6.56169517825174e+001dB,-1.79999900359160e+002°)	(6.57312995928548e+001dB,-1.79999919920950e+002°)	(6.59295843499718e+001dB,-1.79999952681041e+002°)
1.08642562361706e+000	(6.63346172884205e+001dB,-1.79999842629047e+002°)	(6.55825093115166e+001dB,-1.79999880046646e+002°)	(6.52167692779693e+001dB,-1.79999904256444e+002°)	(6.56169517768618e+001dB,-1.79999900129465e+002°)	(6.57312995890344e+001dB,-1.79999919736348e+002°)	(6.59295843519276e+001dB,-1.79999952571960e+002°)
1.08893009333343e+000	(6.63346172884203e+001dB,-1.79999842266269e+002°)	(6.55825093152725e+001dB,-1.79999879770125e+002°)	(6.52167692851722e+001dB,-1.79999904035732e+002°)	(6.56169517825178e+001dB,-1.79999899899239e+002°)	(6.57312995928543e+001dB,-1.79999919551322e+002°)	(6.59295843538810e+001dB,-1.79999952462627e+002°)
1.09144033644876e+000	(6.63346172802296e+001dB,-1.79999841902656e+002°)	(6.55825093133945e+001dB,-1.79999879492966e+002°)	(6.52167692833711e+001dB,-1.79999903814511e+002°)	(6.56169517825170e+001dB,-1.79999899668483e+002°)	(6.57312995890341e+001dB,-1.79999919365868e+002°)	(6.59295843499723e+001dB,-1.79999952353042e+002°)
1.09395636627209e+000	(6.63346172863724e+001dB,-1.79999841538204e+002°)	(6.55825093133946e+001dB,-1.79999879215169e+002°)	(6.52167692797696e+001dB,-1.79999903592781e+002°)	(6.56169517787464e+001dB,-1.79999899437195e+002°)	(6.57312995890345e+001dB,-1.79999919179987e+002°)	(6.59295843519266e+001dB,-1.79999952243204e+002°)
1.09647819614318e+000	(6.63346172904675e+001dB,-1.79999841172911e+002°)	(6.55825093152723e+001dB,-1.79999878936731e+002°)	(6.52167692833710e+001dB,-1.79999903370539e+002°)	(6.56169517806319e+001dB,-1.79999899205374e+002°)	(6.57312995909442e+001dB,-1.79999918993678e+002°)	(6.59295843519271e+001dB,-1.79999952133113e+002°)
1.09900583943252e+000	(6.63346172863721e+001dB,-1.79999840806777e+002°)	(6.55825093133936e+001dB,-1.79999878657651e+002°)	(6.52167692797697e+001dB,-1.79999903147785e+002°)	(6.56169517768606e+001dB,-1.79999898973018e+002°)	(6.57312995909444e+001dB,-1.79999918806939e+002°)	(6.59295843519266e+001dB,-1.79999952022769e+002°)
1.10153930954141e+000	(6.63346172843243e+001dB,-1.79999840439799e+002°)	(6.55825093171497e+001dB,-1.79999878377928e+002°)	(6.52167692815705e+001dB,-1.79999902924518e+002°)	(6.56169517844028e+001dB,-1.79999898740127e+002°)	(6.57312995871242e+001dB,-1.79999918619770e+002°)	(6.59295843538809e+001dB,-1.79999951912170e+002°)
1.10407861990207e+000	(6.63346172863718e+001dB,-1.79999840071975e+002°)	(6.55825093133940e+001dB,-1.79999878097561e+002°)	(6.52167692797698e+001dB,-1.79999902700736e+002°)	(6.56169517806320e+001dB,-1.79999898506699e+002°)	(6.57312995928551e+001dB,-1.79999918432169e+002°)	(6.59295843558353e+001dB,-1.79999951801316e+002°)
1.10662378397766e+000	(6.63346172822763e+001dB,-1.79999839703302e+002°)	(6.55825093171493e+001dB,-1.79999877816546e+002°)	(6.52167692833708e+001dB,-1.79999902476438e+002°)	(6.56169517825167e+001dB,-1.79999898272733e+002°)	(6.57312995890344e+001dB,-1.79999918244136e+002°)	(6.59295843538805e+001dB,-1.79999951690207e+002°)
1.10917481526240e+000	(6.63346172822761e+001dB,-1.79999839333780e+002°)	(6.55825093152717e+001dB,-1.79999877534885e+002°)	(6.52167692761681e+001dB,-1.79999902251623e+002°)	(6.56169517768604e+001dB,-1.79999898038227e+002°)	(6.57312995890340e+001dB,-1.79999918055669e+002°)	(6.59295843538805e+001dB,-1.79999951578841e+002°)
1.11173172728159e+000	(6.63346172843236e+001dB,-1.79999838963406e+002°)	(6.55825093133938e+001dB,-1.79999877252573e+002°)	(6.52167692815701e+001dB,-1.79999902026290e+002°)	(6.56169517806312e+001dB,-1.79999897803181e+002°)	(6.57312995871243e+001dB,-1.79999917866768e+002°)	(6.59295843519267e+001dB,-1.79999951467219e+002°)
1.11429453359173e+000	(6.63346172802282e+001dB,-1.79999838592179e+002°)	(6.55825093171496e+001dB,-1.79999876969611e+002°)	(6.52167692833702e+001dB,-1.79999901800437e+002°)	(6.56169517806316e+001dB,-1.79999897567593e+002°)	(6.57312995909442e+001dB,-1.79999917677431e+002°)	(6.59295843538818e+001dB,-1.79999951355339e+002°)
1.11686324778056e+000	(6.63346172863710e+001dB,-1.79999838220095e+002°)	(6.55825093133931e+001dB,-1.79999876685997e+002°)	(6.52167692815703e+001dB,-1.79999901574063e+002°)	(6.56169517787463e+001dB,-1.79999897331462e+002°)	(6.57312995928544e+001dB,-1.79999917487658e+002°)	(6.59295843499731e+001dB,-1.79999951243202e+002°)
1.11943788346715e+000	(6.63346172843232e+001dB,-1.79999837847154e+002°)	(6.55825093152719e+001dB,-1.79999876401729e+002°)	(6.52167692833709e+001dB,-1.79999901347168e+002°)	(6.56169517825168e+001dB,-1.79999897094786e+002°)	(6.57312995871237e+001dB,-1.79999917297448e+002°)	(6.59295843538818e+001dB,-1.79999951130806e+002°)
1.12201845430196e+000	(6.63346172884183e+001dB,-1.79999837473353e+002°)	(6.55825093133930e+001dB,-1.79999876116805e+002°)	(6.52167692815699e+001dB,-1.79999901119750e+002°)	(6.56169517787457e+001dB,-1.79999896857565e+002°)	(6.57312995890334e+001dB,-1.79999917106798e+002°)	(6.59295843499726e+001dB,-1.79999951018150e+002°)
1.12460497396692e+000	(6.63346172863705e+001dB,-1.79999837098691e+002°)	(6.55825093133931e+001dB,-1.79999875831225e+002°)	(6.52167692797690e+001dB,-1.79999900891807e+002°)	(6.56169517806309e+001dB,-1.79999896619798e+002°)	(6.57312995909441e+001dB,-1.79999916915710e+002°)	(6.59295843538823e+001dB,-1.79999950905236e+002°)
1.12719745617551e+000	(6.63346172863703e+001dB,-1.79999836723164e+002°)	(6.55825093133936e+001dB,-1.79999875544986e+002°)	(6.52167692833707e+001dB,-1.79999900663339e+002°)	(6.56169517806314e+001dB,-1.79999896381482e+002°)	(6.57312995909436e+001dB,-1.79999916724181e+002°)	(6.59295843499726e+001dB,-1.79999950792061e+002°)
1.12979591467280e+000	(6.63346172822749e+001dB,-1.79999836346772e+002°)	(6.55825093115157e+001dB,-1.79999875258088e+002°)	(6.52167692815698e+001dB,-1.79999900434345e+002°)	(6.56169517806310e+001dB,-1.79999896142616e+002°)	(6.57312995928548e+001dB,-1.79999916532210e+002°)	(6.59295843558367e+001dB,-1.79999950678624e+002°)
1.13240036323556e+000	(6.63346172863700e+001dB,-1.79999835969513e+002°)	(6.55825093133934e+001dB,-1.79999874970528e+002°)	(6.52167692797689e+001dB,-1.79999900204822e+002°)	(6.56169517806310e+001dB,-1.79999895903200e+002°)	(6.57312995928543e+001dB,-1.79999916339797e+002°)	(6.59295843538819e+001dB,-1.79999950564927e+002°)
1.13501081567231e+000	(6.63346172822745e+001dB,-1.79999835591383e+002°)	(6.55825093133933e+001dB,-1.79999874682306e+002°)	(6.52167692815702e+001dB,-1.79999899974771e+002°)	(6.56169517825175e+001dB,-1.79999895663232e+002°)	(6.57312995909435e+001dB,-1.79999916146940e+002°)	(6.59295843538807e+001dB,-1.79999950450967e+002°)
1.13762728582343e+000	(6.63346172884173e+001dB,-1.79999835212382e+002°)	(6.55825093152716e+001dB,-1.79999874393418e+002°)	(6.52167692815694e+001dB,-1.79999899744189e+002°)	(6.56169517825164e+001dB,-1.79999895422711e+002°)	(6.57312995928542e+001dB,-1.79999915953639e+002°)	(6.59295843538817e+001dB,-1.79999950336745e+002°)
1.14024978756117e+000	(6.63346172863695e+001dB,-1.79999834832508e+002°)	(6.55825093152707e+001dB,-1.79999874103865e+002°)	(6.52167692797683e+001dB,-1.79999899513075e+002°)	(6.56169517806307e+001dB,-1.79999895181636e+002°)	(6.57312995909439e+001dB,-1.79999915759892e+002°)	(6.59295843538812e+001dB,-1.79999950222259e+002°)
1.14287833478977e+000	(6.63346172863693e+001dB,-1.79999834451757e+002°)	(6.55825093190265e+001dB,-1.79999873813645e+002°)	(6.52167692833705e+001dB,-1.79999899281429e+002°)	(6.56169517806312e+001dB,-1.79999894940004e+002°)	(6.57312995947649e+001dB,-1.79999915565699e+002°)	(6.59295843538812e+001dB,-1.79999950107510e+002°)
1.14551294144553e+000	(6.63346172904645e+001dB,-1.79999834070129e+002°)	(6.55825093152706e+001dB,-1.79999873522755e+002°)	(6.52167692797694e+001dB,-1.79999899049249e+002°)	(6.56169517787456e+001dB,-1.79999894697816e+002°)	(6.57312995909439e+001dB,-1.79999915371058e+002°)	(6.59295843499729e+001dB,-1.79999949992496e+002°)
1.14815362149688e+000	(6.63346172822737e+001dB,-1.79999833687621e+002°)	(6.55825093133921e+001dB,-1.79999873231195e+002°)	(6.52167692815692e+001dB,-1.79999898816533e+002°)	(6.56169517806311e+001dB,-1.79999894455069e+002°)	(6.57312995928541e+001dB,-1.79999915175968e+002°)	(6.59295843519273e+001dB,-1.79999949877217e+002°)
1.15080038894443e+000	(6.63346172843212e+001dB,-1.79999833304232e+002°)	(6.55825093152704e+001dB,-1.79999872938963e+002°)	(6.52167692833698e+001dB,-1.79999898583281e+002°)	(6.56169517787456e+001dB,-1.79999894211763e+002°)	(6.57312995928551e+001dB,-1.79999914980428e+002°)	(6.59295843499734e+001dB,-1.79999949761672e+002°)
1.15345325782109e+000	(6.63346172904640e+001dB,-1.79999832919958e+002°)	(6.55825093133922e+001dB,-1.79999872646057e+002°)	(6.52167692815694e+001dB,-1.79999898349491e+002°)	(6.56169517844020e+001dB,-1.79999893967896e+002°)	(6.57312995909438e+001dB,-1.79999914784438e+002°)	(6.59295843519268e+001dB,-1.79999949645860e+002°)
1.15611224219210e+000	(6.63346172863685e+001dB,-1.79999832534799e+002°)	(6.55825093133924e+001dB,-1.79999872352476e+002°)	(6.52167692815692e+001dB,-1.79999898115163e+002°)	(6.56169517787454e+001dB,-1.79999893723467e+002°)	(6.57312995909438e+001dB,-1.79999914587996e+002°)	(6.59295843538817e+001dB,-1.79999949529782e+002°)
1.15877735615512e+000	(6.63346172884160e+001dB,-1.79999832148752e+002°)	(6.55825093115145e+001dB,-1.79999872058218e+002°)	(6.52167692833697e+001dB,-1.79999897880294e+002°)	(6.56169517787451e+001dB,-1.79999893478474e+002°)	(6.57312995909442e+001dB,-1.79999914391101e+002°)	(6.59295843538812e+001dB,-1.79999949413436e+002°)
1.16144861384034e+000	(6.63346172884158e+001dB,-1.79999831761815e+002°)	(6.55825093152695e+001dB,-1.79999871763281e+002°)	(6.52167692815690e+001dB,-1.79999897644884e+002°)	(6.56169517806311e+001dB,-1.79999893232917e+002°)	(6.57312995909437e+001dB,-1.79999914193752e+002°)	(6.59295843538812e+001dB,-1.79999949296822e+002°)
1.16412602941049e+000	(6.63346172863680e+001dB,-1.79999831373986e+002°)	(6.55825093133922e+001dB,-1.79999871467665e+002°)	(6.52167692815692e+001dB,-1.79999897408931e+002°)	(6.56169517787455e+001dB,-1.79999892986793e+002°)	(6.57312995928549e+001dB,-1.79999913995948e+002°)	(6.59295843519268e+001dB,-1.79999949179939e+002°)
1.16680961706096e+000	(6.63346172884154e+001dB,-1.79999830985262e+002°)	(6.55825093171477e+001dB,-1.79999871171368e+002°)	(6.52167692815692e+001dB,-1.79999897172434e+002°)	(6.56169517768592e+001dB,-1.79999892740102e+002°)	(6.57312995890329e+001dB,-1.79999913797688e+002°)	(6.59295843538817e+001dB,-1.79999949062787e+002°)
1.16949939101987e+000	(6.63346172843200e+001dB,-1.79999830595643e+002°)	(6.55825093152695e+001dB,-1.79999870874387e+002°)	(6.52167692815691e+001dB,-1.79999896935392e+002°)	(6.56169517806304e+001dB,-1.79999892492843e+002°)	(6.57312995871227e+001dB,-1.79999913598971e+002°)	(6.59295843538817e+001dB,-1.79999948945364e+002°)
1.17219536554813e+000	(6.63346172884151e+001dB,-1.79999830205126e+002°)	(6.55825093171480e+001dB,-1.79999870576722e+002°)	(6.52167692815693e+001dB,-1.79999896697804e+002°)	(6.56169517806301e+001dB,-1.79999892245013e+002°)	(6.57312995909436e+001dB,-1.79999913399796e+002°)	(6.59295843538816e+001dB,-1.79999948827671e+002°)
1.17489755493953e+000	(6.63346172822720e+001dB,-1.79999829813708e+002°)	(6.55825093152696e+001dB,-1.79999870278370e+002°)	(6.52167692779675e+001dB,-1.79999896459667e+002°)	(6.56169517806302e+001dB,-1.79999891996612e+002°)	(6.57312995890339e+001dB,-1.79999913200162e+002°)	(6.59295843519264e+001dB,-1.79999948709707e+002°)
1.17760597352080e+000	(6.63346172802242e+001dB,-1.79999829421389e+002°)	(6.55825093171471e+001dB,-1.79999869979331e+002°)	(6.52167692851702e+001dB,-1.79999896220982e+002°)	(6.56169517768592e+001dB,-1.79999891747639e+002°)	(6.57312995928549e+001dB,-1.79999913000068e+002°)	(6.59295843499725e+001dB,-1.79999948591471e+002°)
1.18032063565173e+000	(6.63346172781763e+001dB,-1.79999829028164e+002°)	(6.55825093152697e+001dB,-1.79999869679602e+002°)	(6.52167692833698e+001dB,-1.79999895981747e+002°)	(6.56169517806301e+001dB,-1.79999891498091e+002°)	(6.57312995871226e+001dB,-1.79999912799512e+002°)	(6.59295843538817e+001dB,-1.79999948472962e+002°)
1.18304155572516e+000	(6.63346172843191e+001dB,-1.79999828634033e+002°)	(6.55825093152692e+001dB,-1.79999869379183e+002°)	(6.52167692833692e+001dB,-1.79999895741960e+002°)	(6.56169517787441e+001dB,-1.79999891247969e+002°)	(6.57312995928538e+001dB,-1.79999912598494e+002°)	(6.59295843519269e+001dB,-1.79999948354180e+002°)
1.18576874816716e+000	(6.63346172843189e+001dB,-1.79999828238994e+002°)	(6.55825093152689e+001dB,-1.79999869078071e+002°)	(6.52167692815690e+001dB,-1.79999895501620e+002°)	(6.56169517787445e+001dB,-1.79999890997269e+002°)	(6.57312995890333e+001dB,-1.79999912397013e+002°)	(6.59295843519273e+001dB,-1.79999948235124e+002°)
1.18850222743702e+000	(6.63346172822711e+001dB,-1.79999827843044e+002°)	(6.55825093171469e+001dB,-1.79999868776264e+002°)	(6.52167692833694e+001dB,-1.79999895260727e+002°)	(6.56169517844002e+001dB,-1.79999890745992e+002°)	(6.57312995928547e+001dB,-1.79999912195067e+002°)	(6.59295843519273e+001dB,-1.79999948115793e+002°)
1.19124200802737e+000	(6.63346172822709e+001dB,-1.79999827446181e+002°)	(6.55825093171470e+001dB,-1.79999868473763e+002°)	(6.52167692833691e+001dB,-1.79999895019278e+002°)	(6.56169517768592e+001dB,-1.79999890494135e+002°)	(6.57312995909435e+001dB,-1.79999911992656e+002°)	(6.59295843538822e+001dB,-1.79999947996188e+002°)
